id;produto;nome;descricao;preco;link_para_foto;data_de_cadastro;total_em_estoque
1;INDISPONIVEL;Virginia Visionary Factors;calculate Towels Games;75584;Synergistic;2020-10-09;96928
2;INDISPONIVEL;Home Loan Account 1080p;Cliff;39280;infomediaries synthesizing;2020-10-09;96319
3;INDISPONIVEL;deposit Refined Granite Chair;El Salvador Colon US Dollar Technician;89778;encoding Pants;2020-10-09;75657
4;DISPONIVEL;pink Executive Customizable;Soap;19733;networks;2020-10-08;1006
5;DISPONIVEL;Underpass Arkansas value-added;Sports National Bacon;51564;Technician;2020-10-09;71537
6;DISPONIVEL;revolutionize Handcrafted Granite Car Product;navigating payment;83494;Plastic online;2020-10-09;73089
7;INDISPONIVEL;International;Metal knowledge base functionalities;53630;discrete;2020-10-09;50604
8;INDISPONIVEL;Managed Web;architecture withdrawal Mountains;32814;virtual;2020-10-09;96129
9;DISPONIVEL;payment Gorgeous Steel Soap;portals;78285;Rapids collaborative;2020-10-09;41400
10;INDISPONIVEL;synthesize Auto Loan Account Cotton;convergence Steel Operations;40980;virtual e-business;2020-10-09;65012
